Epoch [1/50], Step [100/469], Train Loss: 2.2373, Train Acc: 27.34%, Test Loss: 2.2217, Test Acc: 32.50%, Lr: 0.001000
Epoch [1/50], Step [200/469], Train Loss: 1.7424, Train Acc: 53.12%, Test Loss: 1.7247, Test Acc: 64.81%, Lr: 0.001000
Epoch [1/50], Step [300/469], Train Loss: 0.7042, Train Acc: 76.56%, Test Loss: 0.6429, Test Acc: 83.22%, Lr: 0.001000
Epoch [1/50], Step [400/469], Train Loss: 0.4504, Train Acc: 87.50%, Test Loss: 0.4367, Test Acc: 87.78%, Lr: 0.001000
Epoch [2/50], Step [100/469], Train Loss: 0.3572, Train Acc: 88.28%, Test Loss: 0.3234, Test Acc: 90.77%, Lr: 0.001000
Epoch [2/50], Step [200/469], Train Loss: 0.4022, Train Acc: 86.72%, Test Loss: 0.2887, Test Acc: 91.67%, Lr: 0.001000
Epoch [2/50], Step [300/469], Train Loss: 0.3166, Train Acc: 90.62%, Test Loss: 0.2550, Test Acc: 92.44%, Lr: 0.001000
Epoch [2/50], Step [400/469], Train Loss: 0.3072, Train Acc: 89.84%, Test Loss: 0.2439, Test Acc: 92.67%, Lr: 0.001000
Epoch [3/50], Step [100/469], Train Loss: 0.2826, Train Acc: 90.62%, Test Loss: 0.2028, Test Acc: 93.92%, Lr: 0.001000
Epoch [3/50], Step [200/469], Train Loss: 0.2177, Train Acc: 92.19%, Test Loss: 0.1884, Test Acc: 94.19%, Lr: 0.001000
Epoch [3/50], Step [300/469], Train Loss: 0.2012, Train Acc: 93.75%, Test Loss: 0.1785, Test Acc: 94.52%, Lr: 0.001000
Epoch [3/50], Step [400/469], Train Loss: 0.2634, Train Acc: 90.62%, Test Loss: 0.1760, Test Acc: 94.64%, Lr: 0.001000
Epoch [4/50], Step [100/469], Train Loss: 0.2591, Train Acc: 92.97%, Test Loss: 0.1558, Test Acc: 95.13%, Lr: 0.001000
Epoch [4/50], Step [200/469], Train Loss: 0.2329, Train Acc: 91.41%, Test Loss: 0.1405, Test Acc: 95.73%, Lr: 0.001000
Epoch [4/50], Step [300/469], Train Loss: 0.2035, Train Acc: 93.75%, Test Loss: 0.1354, Test Acc: 95.97%, Lr: 0.001000
Epoch [4/50], Step [400/469], Train Loss: 0.1902, Train Acc: 94.53%, Test Loss: 0.1280, Test Acc: 96.04%, Lr: 0.001000
Epoch [5/50], Step [100/469], Train Loss: 0.1905, Train Acc: 92.97%, Test Loss: 0.1195, Test Acc: 96.42%, Lr: 0.001000
Epoch [5/50], Step [200/469], Train Loss: 0.1143, Train Acc: 96.88%, Test Loss: 0.1237, Test Acc: 96.16%, Lr: 0.001000
Epoch [5/50], Step [300/469], Train Loss: 0.0968, Train Acc: 97.66%, Test Loss: 0.1132, Test Acc: 96.44%, Lr: 0.001000
Epoch [5/50], Step [400/469], Train Loss: 0.1792, Train Acc: 93.75%, Test Loss: 0.1144, Test Acc: 96.48%, Lr: 0.001000
Epoch [6/50], Step [100/469], Train Loss: 0.2253, Train Acc: 90.62%, Test Loss: 0.1032, Test Acc: 96.81%, Lr: 0.001000
Epoch [6/50], Step [200/469], Train Loss: 0.2439, Train Acc: 94.53%, Test Loss: 0.1004, Test Acc: 97.07%, Lr: 0.001000
Epoch [6/50], Step [300/469], Train Loss: 0.1401, Train Acc: 96.88%, Test Loss: 0.0945, Test Acc: 97.07%, Lr: 0.001000
Epoch [6/50], Step [400/469], Train Loss: 0.2150, Train Acc: 92.97%, Test Loss: 0.0942, Test Acc: 97.17%, Lr: 0.001000
Epoch [7/50], Step [100/469], Train Loss: 0.1466, Train Acc: 94.53%, Test Loss: 0.0882, Test Acc: 97.22%, Lr: 0.001000
Epoch [7/50], Step [200/469], Train Loss: 0.1483, Train Acc: 95.31%, Test Loss: 0.0869, Test Acc: 97.33%, Lr: 0.001000
Epoch [7/50], Step [300/469], Train Loss: 0.2089, Train Acc: 96.09%, Test Loss: 0.0865, Test Acc: 97.44%, Lr: 0.001000
Epoch [7/50], Step [400/469], Train Loss: 0.1243, Train Acc: 96.88%, Test Loss: 0.0885, Test Acc: 97.18%, Lr: 0.001000
Epoch [8/50], Step [100/469], Train Loss: 0.0669, Train Acc: 96.88%, Test Loss: 0.0815, Test Acc: 97.56%, Lr: 0.001000
Epoch [8/50], Step [200/469], Train Loss: 0.1696, Train Acc: 95.31%, Test Loss: 0.0780, Test Acc: 97.54%, Lr: 0.001000
Epoch [8/50], Step [300/469], Train Loss: 0.0837, Train Acc: 98.44%, Test Loss: 0.0815, Test Acc: 97.50%, Lr: 0.001000
Epoch [8/50], Step [400/469], Train Loss: 0.1018, Train Acc: 96.88%, Test Loss: 0.0777, Test Acc: 97.54%, Lr: 0.001000
Epoch [9/50], Step [100/469], Train Loss: 0.0625, Train Acc: 98.44%, Test Loss: 0.0748, Test Acc: 97.67%, Lr: 0.001000
Epoch [9/50], Step [200/469], Train Loss: 0.1223, Train Acc: 97.66%, Test Loss: 0.0754, Test Acc: 97.67%, Lr: 0.001000
Epoch [9/50], Step [300/469], Train Loss: 0.1141, Train Acc: 94.53%, Test Loss: 0.0720, Test Acc: 97.74%, Lr: 0.001000
Epoch [9/50], Step [400/469], Train Loss: 0.1976, Train Acc: 94.53%, Test Loss: 0.0712, Test Acc: 97.89%, Lr: 0.001000
Epoch [10/50], Step [100/469], Train Loss: 0.0771, Train Acc: 96.88%, Test Loss: 0.0684, Test Acc: 97.85%, Lr: 0.001000
Epoch [10/50], Step [200/469], Train Loss: 0.0749, Train Acc: 99.22%, Test Loss: 0.0697, Test Acc: 97.89%, Lr: 0.001000
Epoch [10/50], Step [300/469], Train Loss: 0.0992, Train Acc: 97.66%, Test Loss: 0.0674, Test Acc: 97.73%, Lr: 0.001000
Epoch [10/50], Step [400/469], Train Loss: 0.1680, Train Acc: 94.53%, Test Loss: 0.0677, Test Acc: 97.91%, Lr: 0.001000
Epoch [11/50], Step [100/469], Train Loss: 0.0503, Train Acc: 99.22%, Test Loss: 0.0673, Test Acc: 97.96%, Lr: 0.001000
Epoch [11/50], Step [200/469], Train Loss: 0.0369, Train Acc: 99.22%, Test Loss: 0.0685, Test Acc: 97.82%, Lr: 0.001000
Epoch [11/50], Step [300/469], Train Loss: 0.1797, Train Acc: 94.53%, Test Loss: 0.0643, Test Acc: 97.98%, Lr: 0.001000
Epoch [11/50], Step [400/469], Train Loss: 0.1985, Train Acc: 95.31%, Test Loss: 0.0633, Test Acc: 98.03%, Lr: 0.001000
Epoch [12/50], Step [100/469], Train Loss: 0.1540, Train Acc: 96.09%, Test Loss: 0.0613, Test Acc: 97.95%, Lr: 0.001000
Epoch [12/50], Step [200/469], Train Loss: 0.0423, Train Acc: 99.22%, Test Loss: 0.0637, Test Acc: 97.94%, Lr: 0.001000
Epoch [12/50], Step [300/469], Train Loss: 0.1280, Train Acc: 97.66%, Test Loss: 0.0607, Test Acc: 98.06%, Lr: 0.001000
Epoch [12/50], Step [400/469], Train Loss: 0.0786, Train Acc: 96.09%, Test Loss: 0.0619, Test Acc: 98.05%, Lr: 0.001000
Epoch [13/50], Step [100/469], Train Loss: 0.0631, Train Acc: 99.22%, Test Loss: 0.0590, Test Acc: 98.00%, Lr: 0.001000
Epoch [13/50], Step [200/469], Train Loss: 0.0566, Train Acc: 96.88%, Test Loss: 0.0580, Test Acc: 98.12%, Lr: 0.001000
Epoch [13/50], Step [300/469], Train Loss: 0.0664, Train Acc: 96.88%, Test Loss: 0.0571, Test Acc: 98.21%, Lr: 0.001000
Epoch [13/50], Step [400/469], Train Loss: 0.1130, Train Acc: 94.53%, Test Loss: 0.0580, Test Acc: 98.10%, Lr: 0.001000
Epoch [14/50], Step [100/469], Train Loss: 0.0522, Train Acc: 98.44%, Test Loss: 0.0552, Test Acc: 98.15%, Lr: 0.001000
Epoch [14/50], Step [200/469], Train Loss: 0.1026, Train Acc: 99.22%, Test Loss: 0.0580, Test Acc: 98.17%, Lr: 0.001000
Epoch [14/50], Step [300/469], Train Loss: 0.1721, Train Acc: 96.09%, Test Loss: 0.0605, Test Acc: 98.02%, Lr: 0.001000
